"Date Added","Track Item",Retailer,"Retailer Item ID",TLD,UPC,Title,Manufacturer,Brand,"Client Product Group",Category,Subcategory,"Amazon Sub Category"
3/24/2018,"N - Low Sales Rank",amazon,B00622UQOU,com,',"PULY 3.6 V Lithium Ion Cordless Screwdriver Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00670MTTC,com,',"Craftsman Nextec 12-volt Compact Drill/driver",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B006ERP18E,com,',"MILWAUKEE ELEC TOOL 49-66-4532 1/4 x 2-9/16"" Nutdr",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B006R2XDPY,com,',"Hitachi 748013 Drop Wheel Kit and Curb Riding Wheel Combo",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - INGERSOLL RAND TOOL C",amazon,B0078RMDCG,com,',"INGERSOLL-RAND 3Y679/MX90B AIR PAVING BREAKER 182169",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B007C6JS1W,com,',"Craftsman 24 in. Digital LaserTracAÂ® Level",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B007C6KLW2,com,',"Craftsman Orbital Reciprocating Saw 10.0 Amp 800-2700 Spm Variable Speed",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B007C6KNZM,com,',"Craftsman 9-64087 Drill Bit Set with 6 Insert Bits, 10 Piece",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - CRAFTSMAN TOOL COMBO ",amazon,B007C6L1W6,com,',"CRAFTSMAN 967654 CM CARBIDE TRIANGLE RASP",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B007EE3638,com,',"Milwaukee 2603-20 M18 Fuel Drill Driver tool Only",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - MILWAUKEE TOOL COMBO ",amazon,B007EE37E6,com,',"Milwaukee 2696-29 M18 Combo 9 tool Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B007GSICXQ,com,',"1 Blade 9"" -100t -- Multi-Use Brush Specialty -- R",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B007PC66UO,com,',"WORX WG117 14-Inch Electric Grass Trimmer/Edger, 5",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00864SH8Y,com,',"STABILA LAR120 Green Beam Ro",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B008EX9RO0,com,',"Black & Decker 646594-00 Side Handle",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B008TSUPIC,com,',"Husqvarna 537338306 Line Trimmer Cutting Head Asse",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00986QTMK,com,',"Craftsman Ratchet and Impact Wrench Combination Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B0098RI0KI,com,',"Factory-Reconditioned Black & Decker LST136R-36V 3",,,,,,
